run_id,total_gpu_ms,total_cpu_ms
1,0.812064,0.821648
2,0.808544,0.814425
3,0.808960,0.814225
4,0.808448,0.814114
5,0.807136,0.812902
6,0.805664,0.812131
7,0.806752,0.812501
8,0.807040,0.813052
9,0.807712,0.813683
10,0.806912,0.812812
11,0.811520,1.129889
12,0.862944,1.333493
13,0.808800,1.045450
14,0.808576,0.814515
15,0.807360,0.813923
16,0.808448,0.813493
17,0.807936,0.814245
18,0.808416,0.813994
19,0.807744,0.813914
20,0.808960,0.815016
21,0.808448,0.813804
22,0.807392,0.813974
23,0.806912,0.813193
24,0.807968,0.813874
25,0.805664,0.812662
26,0.807136,0.814635
27,0.809728,0.818372
28,0.807936,0.996588
29,0.806720,1.116485
30,0.871776,1.314117
31,0.807040,1.152081
32,0.806752,1.010114
33,0.806912,1.037616
34,0.807520,0.814335
35,0.806912,0.812852
36,0.806592,0.811830
37,0.806912,0.812882
38,0.807040,0.812782
39,0.806624,0.812481
40,0.808928,0.814415
41,0.808736,0.814465
42,0.806880,0.812863
43,0.808928,0.814666
44,0.806208,0.812180
45,0.808800,0.813954
46,0.808032,0.813774
47,0.806912,0.984135
48,0.806816,1.106465
49,0.860224,1.331569
50,0.807392,1.165106
51,0.806880,0.812681
52,0.805696,0.812752
53,0.811008,0.818051
54,0.806912,0.812922
55,0.809984,0.814997
56,0.808768,0.813734
57,0.807072,0.813503
58,0.806912,0.812892
59,0.808224,0.813273
60,0.808128,0.813633
61,0.809344,0.815257
62,0.807200,0.813212
63,0.806912,0.813092
64,0.806912,0.813403
65,0.806688,0.987041
66,0.804864,1.108740
67,0.863648,1.318755
68,0.808704,1.162671
69,0.808832,0.814476
70,0.807392,0.813453
71,0.808032,0.813753
72,0.807136,0.812892
73,0.808928,0.814384
74,0.806912,0.812972
75,0.806912,0.813303
76,0.805984,0.811138
77,0.805408,0.811208
78,0.808640,0.814605
79,0.806880,0.816920
80,0.809216,0.815376
81,0.807104,0.812882
82,0.806400,0.812732
83,0.809824,0.817380
84,0.805248,0.991028
85,0.806304,1.102908
86,0.885184,1.332100
87,0.806912,1.151010
88,0.806368,1.010063
89,0.807968,1.018750
90,0.808480,0.813453
91,0.807392,0.814115
92,0.808480,0.813413
93,0.807552,0.813824
94,0.810240,0.815567
95,0.805568,0.812471
96,0.804864,0.810678
97,0.808832,0.814795
98,0.806816,0.812782
99,0.809184,0.814997
100,0.807040,0.813734
